I1: The robot's movement looked natural,I1: The gesture felt appropriate for the context,I1:  The timing of the gesture felt right,"I1:  Overall, I would describe this gesture as high quality",I2: The robot's movement looked natural,I2: The gesture felt appropriate for the context,I2:  The timing of the gesture felt right,"I2:  Overall, I would describe this gesture as high quality",I3: The robot's movement looked natural,I3: The gesture felt appropriate for the context,I3:  The timing of the gesture felt right,"I3:  Overall, I would describe this gesture as high quality"
Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Disagree
Somewhat Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree
Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree
Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral
Neutral,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree
Somewhat Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree
Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree
Neutral,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Somewhat Agree
Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Somewhat Agree
Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree
Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Disagree,Strongly Agree,Neutral,Neutral
Neutral,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree
Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree
Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree
Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Somewhat Agree,Agree,Neutral,Neutral
Somewhat Agree,Somewhat Agree,Neutral,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree
Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree
Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Neutral,Agree,Somewhat Agree,Neutral
Somewhat Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree
